Voltage (V),Current (A),Power (W)
239.94,4.67,1121.57
223.61,1.66,370.99
227.12,0.97,219.24
226.33,0.08,17.55
222.1,0.53,118.04
227.29,0.37,85.05
228.02,0.48,108.89
237.16,1.0,236.87
227.35,4.26,969.47
228.15,1.5,341.96
228.7,0.59,135.92
230.52,3.44,794.06
235.57,3.99,938.92
230.68,1.55,356.87
237.11,1.1,260.86
230.6,0.21,49.05
227.79,2.21,504.4
233.75,1.78,416.67
235.11,4.38,1030.6
227.62,4.13,940.74
227.79,4.71,1073.24
224.91,4.86,1093.08
224.19,0.3,67.16
223.57,4.0,894.82
229.29,0.41,93.86
224.83,2.55,572.76
226.54,0.65,148.1
224.9,4.45,1000.29
228.7,0.01,3.3
223.68,0.5,112.22
223.98,0.02,5.41
228.06,0.18,40.95
233.98,2.09,490.14
237.39,0.58,137.0
232.61,1.56,361.85
226.64,2.56,580.59
221.35,3.29,727.48
224.71,1.42,318.32
224.45,0.09,20.95
223.9,4.82,1078.18
236.49,0.94,221.98
226.21,2.7,610.26
232.11,2.16,502.39
224.92,3.31,744.98
223.86,4.24,949.83
231.87,1.32,306.78
226.51,3.73,845.02
223.91,3.29,736.82
232.83,4.0,932.32
228.56,3.58,817.43
232.81,1.86,433.67
226.33,4.57,1033.44
232.49,1.81,420.49
234.37,3.83,898.52
237.75,2.05,487.21
228.89,2.27,519.8
234.93,4.88,1147.48
236.9,1.59,376.37
230.53,3.11,716.55
230.97,1.46,337.64
235.77,3.86,909.78
234.49,3.5,820.12
231.86,0.55,127.56
232.17,2.65,614.83
223.02,0.99,220.32
233.33,2.81,656.61
231.47,4.52,1045.82
237.63,4.82,1144.42
230.52,0.12,28.01
236.42,3.19,753.81
227.51,3.27,744.52
221.61,0.9,199.4
224.78,4.71,1057.93
222.34,2.44,541.42
226.13,4.01,906.33
232.5,4.63,1076.34
225.9,1.24,280.8
228.66,0.06,12.63
231.16,0.32,74.42
226.73,4.23,959.01
223.0,2.73,609.4
220.03,0.37,81.98
229.34,1.74,397.93
220.34,1.61,355.47
233.68,4.2,980.53
234.18,0.08,19.07
225.92,0.72,163.57
220.74,1.86,409.69
225.96,2.19,494.7
221.28,1.4,310.5
233.02,2.57,599.16
222.37,2.53,562.76
234.44,1.97,461.12
238.41,2.22,528.79
225.59,0.31,69.73
234.45,0.99,232.98
232.95,0.18,43.08
231.51,1.81,418.03
239.84,4.45,1068.48
225.38,3.22,726.4
234.14,3.25,760.56
223.25,1.36,302.87
221.71,1.74,385.1
226.32,2.34,530.0
221.33,3.18,703.1
231.98,1.58,366.26
224.57,1.73,387.75
237.63,3.89,924.64
225.11,4.06,913.84
236.93,2.93,695.06
221.16,2.67,591.05
223.03,0.29,64.75
235.54,0.89,208.5
222.08,1.86,413.75
220.2,3.26,717.77
236.59,3.51,829.88
232.34,4.87,1131.18
230.1,2.54,584.73
222.17,4.5,999.25
226.18,4.25,961.08
226.06,2.47,557.63
226.76,1.97,447.3
223.19,0.34,76.95
228.71,1.23,282.26
226.8,3.28,743.93
238.13,2.6,619.96
238.88,2.19,522.5
221.46,2.94,651.24
225.55,1.64,370.31
235.13,3.7,870.83
231.01,2.77,639.06
232.98,0.16,37.29
232.93,3.83,892.68
238.94,1.35,321.86
232.54,0.05,11.11
229.36,2.39,549.03
235.03,0.15,34.14
226.0,3.92,885.93
238.76,0.64,151.68
228.05,0.49,112.39
225.69,2.46,554.95
237.94,1.96,465.24
223.76,3.9,873.72
220.98,0.87,191.58
233.37,4.05,945.41
229.63,3.67,841.67
235.3,4.84,1137.76
220.86,0.68,149.49
239.7,3.76,901.45
224.55,1.37,307.53
220.25,2.82,622.04
233.78,3.52,823.51
223.22,3.51,783.51
238.17,0.17,41.27
221.19,3.41,754.66
223.64,2.46,549.24
226.95,0.1,22.75
238.71,3.87,924.0
225.63,1.93,434.74
238.6,0.23,54.06
223.53,1.88,419.22
231.43,2.44,565.14
232.62,3.07,714.0
233.3,4.34,1012.25
228.04,1.56,356.47
222.94,1.14,253.46
237.79,4.83,1149.57
227.99,2.11,480.03
230.0,4.7,1080.32
235.22,2.38,558.87
221.98,3.92,871.22
230.65,0.88,203.11
222.39,4.58,1018.89
235.61,2.74,645.01
236.71,1.18,279.57
221.86,2.32,514.72
221.04,1.38,304.77
222.67,2.76,615.26
220.49,3.2,705.65
237.89,0.7,165.76
230.08,3.39,780.43
221.92,2.1,466.7
232.6,4.74,1103.28
229.96,4.8,1103.83
226.86,4.98,1130.52
232.32,2.01,467.86
233.49,0.91,211.49
230.06,1.32,304.3
224.25,2.55,571.92
233.46,1.14,265.21
235.81,4.81,1134.75
234.02,4.64,1085.2
234.05,2.25,525.65
235.3,0.66,154.32
239.75,2.86,686.84
227.39,3.42,777.12
235.29,2.36,554.71
238.07,2.82,671.39
227.17,1.49,338.64
235.84,2.04,480.18
235.7,4.44,1045.38
226.64,2.84,644.19
229.43,4.51,1034.16
227.6,1.66,378.15
228.34,1.19,272.56
226.41,2.62,593.44
239.01,3.02,722.4
228.4,0.61,139.34
225.54,3.44,776.86
230.74,3.53,813.9
232.72,0.25,58.74
221.52,2.38,527.97
221.76,2.82,625.83
235.69,4.94,1163.78
226.46,1.3,295.03
230.45,0.56,129.22
237.28,2.87,679.88
227.08,1.7,385.93
239.56,1.1,262.98
233.75,2.29,534.6
237.4,0.84,200.44
228.2,0.61,140.05
236.38,2.68,632.82
236.52,3.6,852.31
231.67,4.38,1013.77
235.33,2.99,704.68
232.69,3.2,745.58
223.87,2.99,668.82
224.67,0.95,213.08
233.32,3.31,771.66
226.95,3.85,874.15
228.82,3.84,879.76
238.31,0.44,104.98
234.25,1.94,454.93
230.7,4.86,1121.26
230.06,2.07,477.09
237.3,1.73,410.17
235.83,0.6,142.09
234.11,1.01,235.58
224.6,2.89,648.32
226.37,0.29,65.77
227.79,1.92,436.88
237.48,0.31,73.26
237.43,3.23,766.8
238.19,4.06,968.22
220.63,0.15,33.0
224.72,0.69,155.43
228.92,0.4,92.57
226.06,0.85,192.45
224.6,4.91,1101.84
233.11,0.07,16.73
233.54,3.35,783.3
228.82,1.7,389.57
221.77,3.5,777.07
237.38,1.58,375.69
232.27,1.15,267.19
232.21,3.1,719.98
222.76,2.62,584.21
232.89,1.99,463.25
230.58,0.25,58.01
224.52,3.52,789.2
235.45,0.8,188.47
237.68,3.93,933.46
236.42,3.72,879.82
235.94,1.09,256.14
229.9,2.0,459.11
222.12,4.18,929.32
235.25,4.75,1117.3
223.16,2.21,492.1
232.62,2.43,566.18
221.92,1.38,305.34
238.79,0.58,139.23
233.11,1.67,389.12
233.04,3.69,860.07
230.64,4.92,1133.92
220.38,3.88,854.57
237.2,1.6,379.88
229.56,3.85,883.3
228.14,3.38,769.98
225.59,1.91,431.49
239.26,0.49,116.89
238.33,3.73,889.68
222.7,3.32,739.71
236.55,3.87,916.61
227.02,4.85,1101.87
231.42,1.19,275.6
227.52,3.42,779.06
239.76,2.06,494.19
229.9,1.08,248.48
224.87,0.9,203.14
224.22,0.88,197.22
224.71,0.23,52.05
230.01,3.31,760.19
226.8,0.42,95.9
239.79,0.03,8.15
228.69,4.8,1098.33
224.65,0.21,46.8
239.03,0.35,84.47
222.78,3.06,682.6
227.1,1.36,309.03
236.56,1.67,394.26
237.05,4.11,973.08
232.93,4.73,1102.09
236.39,1.98,468.78
235.47,2.55,601.19
235.64,0.5,117.36
235.12,2.3,540.58
225.48,2.41,542.71
230.92,0.39,89.46
238.98,0.42,99.46
225.49,4.88,1101.26
222.13,1.08,240.47
236.58,3.29,777.79
224.13,1.27,284.55
237.56,2.96,703.93
226.58,3.32,752.04
228.82,3.52,805.76
232.6,2.88,669.94
226.61,4.38,993.56
230.41,3.87,891.26
224.73,3.42,768.2
221.63,4.76,1054.85
234.0,4.72,1103.97
230.88,2.25,518.99
234.78,4.93,1156.34
231.44,3.05,705.15
224.98,0.76,171.66
227.99,4.39,1001.37
225.69,0.89,201.55
222.56,2.11,469.72
227.31,2.28,517.31
237.73,1.54,365.1
237.81,2.93,696.48
223.68,0.53,119.38
231.02,4.79,1106.4
228.4,2.03,464.5
224.5,4.72,1059.0
222.85,4.71,1049.27
237.11,1.85,438.14
234.78,4.52,1062.19
228.75,4.56,1043.26
230.14,3.99,917.77
221.81,1.96,435.34
233.58,4.66,1087.96
220.26,4.86,1069.8
235.22,4.22,992.53
222.74,1.34,298.09
232.9,4.99,1162.39
228.25,2.23,509.67
231.03,0.23,54.28
223.69,0.93,207.22
227.67,1.01,229.73
238.97,2.27,541.33
228.79,4.06,928.01
237.91,2.82,669.79
233.1,0.19,43.55
230.72,1.38,318.48
221.41,1.27,281.39
226.64,2.28,517.23
231.85,0.13,29.68
223.32,4.88,1090.24
223.55,4.02,897.77
238.46,3.83,913.52
229.95,1.07,245.54
237.83,2.66,631.89
229.03,2.81,643.96
232.14,1.25,289.85
238.89,2.71,647.66
223.07,1.61,359.86
234.12,1.19,278.59
225.48,2.43,546.87
239.85,0.57,135.89
237.23,1.91,451.98
229.04,4.72,1081.61
231.76,0.26,59.1
226.28,3.22,728.99
227.35,0.69,156.88
223.83,3.02,676.74
223.27,1.59,355.94
233.89,2.53,592.35
238.82,3.59,857.5
234.82,2.12,497.67
234.37,2.12,497.35
239.4,0.35,82.66
233.12,2.14,498.48
238.72,0.7,167.68
230.38,1.92,441.79
233.96,3.04,712.36
227.25,2.25,511.94
235.14,3.75,882.35
226.96,1.04,235.7
220.24,0.16,35.73
228.03,2.86,653.18
236.8,3.56,843.7
235.94,0.4,94.23
220.19,3.79,833.91
224.86,4.29,965.08
226.81,4.13,937.82
225.75,3.54,799.11
230.67,1.37,316.9
224.83,2.59,582.69
229.78,1.25,286.84
237.22,3.41,809.0
232.55,2.5,582.38
232.95,2.4,559.41
233.56,4.89,1141.9
232.63,0.57,132.21
236.48,3.31,783.76
221.86,2.7,599.3
235.15,2.19,514.67
225.41,0.26,58.03
238.28,3.71,885.0
238.77,3.56,849.28
233.35,3.94,920.11
231.69,0.25,57.68
221.64,1.97,435.98
227.46,1.81,411.96
226.06,3.38,763.64
235.47,1.66,391.98
227.29,4.35,988.66
234.34,1.19,277.9
231.57,2.26,524.05
239.14,2.34,558.66
232.11,2.75,638.71
227.42,1.73,393.09
224.21,0.81,181.42
233.78,3.08,720.59
235.67,1.71,404.13
225.62,4.84,1092.52
226.09,2.67,604.39
226.07,1.38,311.16
223.39,0.12,26.19
239.71,3.76,901.9
234.44,2.02,473.27
238.56,2.63,627.11
232.07,1.29,299.55
239.96,1.0,240.02
223.14,1.42,316.39
236.52,2.23,528.24
237.29,1.03,245.27
232.38,0.36,82.54
220.46,0.98,215.47
235.89,3.95,930.72
231.32,3.99,923.05
236.24,1.06,250.16
224.75,3.32,746.02
238.47,4.78,1139.31
225.22,2.95,664.43
225.29,0.26,58.58
229.24,4.75,1089.06
226.22,0.51,115.29
235.1,4.37,1027.67
232.4,4.64,1078.54
220.87,2.1,463.74
226.79,0.49,111.19
234.45,1.8,422.68
221.38,4.44,982.46
224.95,0.83,187.04
230.47,2.7,621.32
228.82,1.6,365.7
238.05,0.96,228.96
233.97,3.68,859.93
221.24,2.84,627.36
225.06,0.3,67.12
235.07,3.1,728.63
237.83,3.57,848.71
239.1,1.76,421.13
225.65,2.96,666.81
232.99,3.37,786.2
228.02,3.72,847.47
235.98,3.53,833.16
229.23,1.26,287.77
233.75,3.87,905.67
225.98,4.35,983.36
239.17,0.04,9.16
225.83,4.55,1027.38
236.56,3.83,906.53
221.94,1.7,376.41
225.66,0.3,68.55
229.57,4.89,1122.4
238.01,1.79,425.03
236.33,0.59,138.53
237.12,2.46,584.31
233.59,4.81,1124.24
229.81,4.53,1040.37
231.64,0.49,114.33
233.67,2.89,676.05
224.12,4.69,1050.89
233.34,4.91,1145.88
220.46,2.06,454.46
239.92,2.82,676.19
227.79,4.56,1038.72
233.17,0.38,88.92
223.03,1.57,351.22
235.15,0.22,51.08
226.29,4.87,1102.98
225.4,4.13,931.95
222.29,2.52,560.99
232.97,1.22,283.89
221.11,1.54,340.02
235.93,4.17,984.97
239.8,1.78,426.32
223.72,2.24,500.1
230.27,2.96,680.9
226.0,4.71,1065.5
220.83,1.61,356.03
226.24,3.93,888.49
224.03,2.21,496.03
227.5,3.16,718.8
231.86,3.57,828.24
239.39,4.03,964.28
239.42,4.5,1076.94
234.07,2.68,627.91
223.7,2.85,636.91
233.64,3.59,837.94
239.9,4.01,962.81
231.55,3.18,736.54
226.36,3.42,773.7
235.36,2.43,572.12
224.26,4.76,1067.25
224.32,3.01,674.76
230.84,2.98,687.96
220.19,4.24,932.97
220.24,0.69,151.79
236.55,0.01,1.87
233.32,1.78,415.67
225.61,3.65,824.55
220.94,0.43,94.67
226.95,1.89,429.91
234.76,0.15,35.24
227.02,0.55,123.87
234.12,2.86,669.26
222.07,1.1,243.5
233.63,2.02,472.23
221.04,2.34,517.11
236.98,2.76,654.62
237.0,3.33,789.0
223.53,2.35,525.03
220.13,0.74,162.26
229.93,2.35,539.89
232.12,1.67,387.19
227.56,4.43,1007.38
225.63,2.36,533.52
235.0,4.41,1035.82
228.32,1.13,257.45
226.16,4.1,926.6
234.8,3.51,824.17
231.02,4.81,1111.05
238.28,2.79,664.41
228.07,1.97,450.05
235.86,4.91,1159.0
236.27,3.16,746.59
236.58,2.78,657.92
237.74,4.28,1017.65
237.93,3.93,934.35
231.82,0.6,139.97
232.66,3.63,845.33
225.18,3.67,827.1
230.71,3.23,744.13
221.52,3.52,779.08
223.03,4.91,1094.73
234.26,3.49,816.93
235.82,1.19,280.18
228.73,3.35,766.54
222.85,2.42,539.43
222.78,2.66,592.46
229.86,1.36,312.38
237.31,2.04,484.53
238.74,4.34,1035.8
230.58,1.05,241.04
231.14,4.22,975.3
228.72,2.2,502.87
221.88,0.45,99.14
220.81,3.82,844.51
223.9,1.64,368.19
236.29,2.27,537.57
236.79,3.84,909.24
237.98,3.15,749.6
229.83,4.6,1058.21
221.2,3.54,783.03
226.01,4.69,1059.77
225.66,3.22,726.15
238.17,2.83,673.72
235.44,2.73,641.95
220.69,0.19,41.44
235.92,2.57,607.32
233.63,0.89,207.07
236.63,3.88,917.65
234.59,2.36,553.28
234.1,3.94,921.48
229.61,4.17,958.0
232.72,2.72,633.63
239.68,2.25,539.12
220.77,0.44,96.98
232.35,4.73,1098.28
226.24,1.24,279.71
224.27,1.94,436.07
239.5,4.05,970.22
239.81,1.14,273.15
220.71,3.55,783.63
220.74,0.85,186.92
224.26,1.91,427.29
236.78,3.87,916.25
230.92,1.9,438.85
238.01,4.73,1125.8
228.6,2.03,464.87
238.67,0.26,61.5
226.19,1.68,379.89
234.77,3.28,769.5
232.8,4.13,960.85
238.84,3.08,735.51
227.52,2.28,518.72
220.13,0.5,109.24
228.05,1.59,363.0
227.79,4.5,1024.02
225.17,3.42,769.04
223.72,3.72,832.52
232.68,2.32,540.09
224.4,3.47,779.15
239.65,3.75,898.55
225.11,3.25,732.66
239.54,4.96,1188.86
226.76,1.25,282.77
226.39,0.77,175.32
227.98,4.92,1121.69
233.31,2.42,564.54
226.47,2.7,611.14
221.33,4.86,1074.8
222.56,2.92,648.89
230.82,1.54,354.48
225.6,1.49,335.59
228.07,2.05,468.0
238.72,4.4,1050.27
236.19,2.54,601.06
229.49,2.44,559.9
237.72,0.79,188.01
228.68,1.78,407.15
223.9,1.41,315.17
234.52,2.8,655.76
227.83,3.56,810.94
222.16,4.59,1018.9
231.39,1.22,282.96
237.79,3.61,858.95
235.95,4.45,1049.74
228.26,1.35,308.74
224.78,2.45,551.36
231.9,4.74,1098.2
221.54,2.03,448.79
227.2,2.87,652.23
234.97,4.3,1011.3
224.76,2.48,557.96
233.09,0.42,98.1
224.01,0.9,200.92
222.36,0.62,138.07
226.66,3.63,822.81
227.33,2.61,594.05
237.01,2.96,702.49
238.63,1.71,409.24
221.64,3.9,863.85
239.82,2.08,499.92
222.63,2.32,515.43
230.7,4.0,923.53
224.05,0.23,50.77
229.34,4.51,1034.53
222.87,0.18,40.34
225.82,0.31,70.81
224.88,3.84,864.27
230.82,0.4,93.25
231.95,1.72,398.77
229.05,3.78,865.63
235.54,4.92,1159.57
233.63,4.63,1082.61
239.22,0.42,101.53
238.59,4.59,1095.95
224.28,2.34,525.33
238.58,0.45,107.97
220.76,4.64,1024.71
239.93,4.69,1126.06
232.36,2.6,604.54
234.22,1.74,406.74
222.49,2.54,565.98
224.53,3.37,756.26
238.56,2.29,546.49
223.67,1.48,331.19
227.87,2.84,646.85
231.23,0.63,144.72
221.85,0.91,201.27
234.94,4.98,1169.58
236.83,0.97,228.84
228.48,1.04,237.78
228.05,0.1,22.12
230.63,4.93,1138.04
231.35,4.3,995.32
230.85,4.36,1005.59
221.69,2.33,517.11
236.77,1.65,389.89
229.83,2.76,634.95
232.91,0.23,53.91
225.28,0.27,60.78
230.48,0.31,71.98
224.74,2.34,525.0
229.91,0.61,139.31
234.76,4.33,1017.63
221.08,0.7,155.37
222.6,4.37,973.77
227.33,0.74,168.57
228.87,0.53,120.87
233.78,1.61,376.44
237.73,3.81,904.77
220.86,1.93,427.26
233.86,3.73,872.4
227.3,2.81,639.42
221.06,0.0,0.88
230.82,1.03,237.54
220.42,0.95,209.86
224.52,0.31,68.64
221.0,1.88,415.0
226.44,1.67,377.15
239.89,3.14,753.2
231.81,4.48,1039.27
232.1,4.21,977.33
235.48,0.49,114.74
235.11,1.54,362.51
231.25,0.95,219.65
235.13,0.61,144.4
220.31,2.68,590.29
228.25,0.71,162.81
221.14,0.57,125.85
230.4,0.69,158.33
222.52,4.87,1083.25
238.84,4.41,1052.63
222.21,1.11,246.19
236.61,2.22,525.46
238.72,2.3,549.51
227.57,2.09,476.31
221.0,3.61,798.12
232.5,3.13,727.88
231.44,4.87,1127.55
222.15,1.81,402.92
237.2,4.67,1107.69
236.93,3.35,793.23
233.92,1.68,392.19
226.35,1.11,251.57
223.69,0.95,212.34
225.03,2.14,480.61
225.74,1.06,238.78
236.23,0.18,43.49
222.35,4.67,1038.52
229.41,1.62,372.09
236.1,0.99,234.47
231.87,2.91,674.82
232.58,4.33,1006.94
234.72,4.05,949.69
223.35,1.19,266.37
232.29,3.66,851.16
223.35,1.46,326.54
238.13,3.37,801.77
238.05,2.74,651.93
224.03,2.94,658.43
220.22,4.52,996.27
230.78,4.4,1015.26
221.63,1.69,374.25
227.96,2.55,581.06
230.14,3.5,805.3
220.74,2.46,542.62
229.45,2.16,494.47
235.77,3.04,716.66
222.85,0.67,148.31
229.52,1.41,323.8
233.13,0.31,72.5
231.25,3.1,717.15
220.29,2.37,521.76
222.59,0.65,144.19
239.58,2.61,625.94
235.02,3.38,795.46
229.54,3.77,866.08
222.03,3.3,731.67
224.29,3.78,847.86
236.82,3.39,803.97
228.61,0.46,106.3
235.19,0.5,118.7
235.86,0.58,137.83
239.35,1.17,280.86
235.26,3.79,891.21
221.0,0.79,175.47
239.8,1.49,357.53
224.65,2.99,671.5
228.71,0.73,167.62
226.11,3.12,705.57
224.85,2.35,527.3
231.57,0.17,40.36
230.84,4.11,949.59
221.13,3.23,713.65
223.89,0.64,143.2
227.49,0.24,53.95
227.35,0.05,11.96
230.79,3.89,897.12
223.15,4.03,898.65
236.85,1.6,378.1
226.27,1.17,264.2
221.32,2.64,584.88
238.7,4.14,988.22
229.02,3.27,748.78
225.69,3.7,835.77
230.19,0.83,191.81
231.75,0.05,11.62
239.73,2.0,478.9
238.58,2.93,698.46
231.59,2.0,462.17
238.68,4.1,978.71
234.03,2.67,624.68
232.97,2.22,518.11
231.54,2.7,625.26
235.18,4.65,1093.29
238.85,3.6,860.51
230.89,0.84,194.88
223.19,1.81,404.51
228.77,0.25,56.5
230.7,2.2,506.89
231.42,0.22,51.37
223.45,0.51,114.29
232.91,3.91,909.6
233.57,2.28,531.66
223.91,0.57,127.15
232.47,3.21,746.6
227.91,2.44,555.02
229.3,4.82,1105.09
233.2,4.36,1016.52
220.92,3.56,787.01
239.69,4.21,1008.76
237.31,3.99,945.88
229.74,0.47,107.72
225.14,4.89,1100.04
221.48,1.22,269.21
227.74,4.89,1114.0
239.22,3.25,778.31
226.45,3.14,710.76
239.44,0.56,134.94
226.04,3.82,862.49
234.8,4.61,1081.92
233.82,3.38,790.29
225.43,3.03,682.93
235.99,1.97,465.76
231.1,0.63,144.92
232.8,0.49,113.97
227.01,4.47,1014.16
230.05,1.06,244.74
221.45,2.26,501.1
230.8,4.08,941.41
235.1,0.78,184.02
227.41,2.8,635.65
229.84,0.04,9.4
239.86,4.62,1109.06
236.45,3.03,715.61
226.07,2.53,571.3
238.17,0.49,116.97
235.88,2.44,574.78
221.78,2.07,459.48
235.11,0.35,82.76
227.14,4.15,941.57
228.11,0.26,59.21
221.92,2.21,489.41
